-180.000000 -180.000000  37.266809
-170.000000 -180.000000  32.386652
-160.000000 -180.000000  32.298197
-150.000000 -180.000000  28.510307
-140.000000 -180.000000  30.465776
-130.000000 -180.000000  27.870297
-120.000000 -180.000000  27.084787
-110.000000 -180.000000  27.131967
-100.000000 -180.000000  25.722110
-90.000000 -180.000000  21.655463
-80.000000 -180.000000  24.194168
-70.000000 -180.000000  21.183473
-60.000000 -180.000000  20.073024
-50.000000 -180.000000  22.291979
-40.000000 -180.000000  20.552449
-30.000000 -180.000000  19.733788
-20.000000 -180.000000  21.313743
-10.000000 -180.000000  20.550637
  0.000000 -180.000000  18.106373
 10.000000 -180.000000  19.137712
 20.000000 -180.000000  17.888672
 30.000000 -180.000000  19.600354
 40.000000 -180.000000  20.091942
 50.000000 -180.000000  22.129208
 60.000000 -180.000000  20.428618
 70.000000 -180.000000  19.961010
 80.000000 -180.000000  22.924603
 90.000000 -180.000000  24.690722
100.000000 -180.000000  25.902951
-180.000000 -170.000000  33.640772
-170.000000 -170.000000  32.841133
-160.000000 -170.000000  30.363516
-150.000000 -170.000000  28.771065
-140.000000 -170.000000  28.740028
-130.000000 -170.000000  26.433536
-120.000000 -170.000000  24.095194
-110.000000 -170.000000  23.802689
-100.000000 -170.000000  22.620668
-90.000000 -170.000000  21.798128
-80.000000 -170.000000  19.893428
-70.000000 -170.000000  20.376269
-60.000000 -170.000000  18.061708
-50.000000 -170.000000  17.056690
-40.000000 -170.000000  19.484799
-30.000000 -170.000000  17.214648
-20.000000 -170.000000  19.239076
-10.000000 -170.000000  19.071458
  0.000000 -170.000000  17.841126
 10.000000 -170.000000  18.578230
 20.000000 -170.000000  15.856245
 30.000000 -170.000000  18.792901
 40.000000 -170.000000  19.072454
 50.000000 -170.000000  16.708159
 60.000000 -170.000000  18.869926
 70.000000 -170.000000  18.709957
 80.000000 -170.000000  22.199228
 90.000000 -170.000000  21.332973
100.000000 -170.000000  24.179579
-180.000000 -160.000000  30.779184
-170.000000 -160.000000  29.738954
-160.000000 -160.000000  30.229965
-150.000000 -160.000000  27.056626
-140.000000 -160.000000  24.246506
-130.000000 -160.000000  25.765104
-120.000000 -160.000000  23.324869
-110.000000 -160.000000  20.703496
-100.000000 -160.000000  22.351174
-90.000000 -160.000000  21.563851
-80.000000 -160.000000  18.738863
-70.000000 -160.000000  18.382620
-60.000000 -160.000000  17.921144
-50.000000 -160.000000  16.856688
-40.000000 -160.000000  16.360199
-30.000000 -160.000000  15.613406
-20.000000 -160.000000  17.086926
-10.000000 -160.000000  17.809206
  0.000000 -160.000000  16.247113
 10.000000 -160.000000  15.943894
 20.000000 -160.000000  15.790782
 30.000000 -160.000000  17.775887
 40.000000 -160.000000  18.452791
 50.000000 -160.000000  15.731056
 60.000000 -160.000000  18.344609
 70.000000 -160.000000  16.506509
 80.000000 -160.000000  20.619009
 90.000000 -160.000000  21.106633
100.000000 -160.000000  20.545362
-180.000000 -150.000000  29.558049
-170.000000 -150.000000  28.682695
-160.000000 -150.000000  28.736323
-150.000000 -150.000000  23.712486
-140.000000 -150.000000  22.917484
-130.000000 -150.000000  21.613519
-120.000000 -150.000000  22.541095
-110.000000 -150.000000  21.847442
-100.000000 -150.000000  20.340125
-90.000000 -150.000000  20.243630
-80.000000 -150.000000  18.947574
-70.000000 -150.000000  15.813167
-60.000000 -150.000000  15.171061
-50.000000 -150.000000  16.920762
-40.000000 -150.000000  15.122494
-30.000000 -150.000000  13.657784
-20.000000 -150.000000  14.219099
-10.000000 -150.000000  12.536830
  0.000000 -150.000000  13.780062
 10.000000 -150.000000  15.810649
 20.000000 -150.000000  16.383231
 30.000000 -150.000000  14.985011
 40.000000 -150.000000  13.517371
 50.000000 -150.000000  15.045390
 60.000000 -150.000000  16.532549
 70.000000 -150.000000  15.172220
 80.000000 -150.000000  19.193008
 90.000000 -150.000000  18.355305
100.000000 -150.000000  19.584499
-180.000000 -140.000000  30.643182
-170.000000 -140.000000  27.883433
-160.000000 -140.000000  26.551064
-150.000000 -140.000000  24.189019
